model,family,variant,iteration,macro_f1
convnext_tiny,ConvNeXt,finetuned,6,85.7667093778522
convnext_tiny,ConvNeXt,finetuned,7,86.9015681429984
convnext_tiny,ConvNeXt,finetuned,8,85.00161937595514
convnext_tiny,ConvNeXt,finetuned,9,86.3515490948579
convnext_tiny,ConvNeXt,finetuned,10,87.21503831760467
convnext_tiny,ConvNeXt,finetuned,11,86.36824353616086
convnext_tiny,ConvNeXt,finetuned,12,87.0012750421282
convnext_tiny,ConvNeXt,finetuned,13,86.96001623802442
convnext_tiny,ConvNeXt,finetuned,14,88.23012088850815
convnext_tiny,ConvNeXt,finetuned,15,86.68718867092583
convnext_tiny,ConvNeXt,finetuned,16,87.16779975475282
convnext_tiny,ConvNeXt,finetuned,17,86.30984292807334
convnext_tiny,ConvNeXt,finetuned,18,86.30174973076426
convnext_tiny,ConvNeXt,finetuned,19,88.53494369872254
convnext_tiny,ConvNeXt,finetuned,20,86.8471914468815
convnext_tiny,ConvNeXt,finetuned,21,86.96539040334545
convnext_tiny,ConvNeXt,finetuned,22,85.63212625701948
convnext_tiny,ConvNeXt,finetuned,23,87.58221841669213
convnext_tiny,ConvNeXt,finetuned,24,87.33466108154694
convnext_tiny,ConvNeXt,finetuned,25,85.30008432045653
convnext_tiny,ConvNeXt,finetuned,26,84.44226438758781
convnext_tiny,ConvNeXt,finetuned,27,86.5835368707865
convnext_tiny,ConvNeXt,finetuned,28,86.66478057229632
convnext_tiny,ConvNeXt,finetuned,29,84.85739302828294
convnext_tiny,ConvNeXt,finetuned,30,87.64242371566633
convnext_tiny,ConvNeXt,finetuned,31,85.59712398474095
convnext_tiny,ConvNeXt,finetuned,32,86.25229573062853
convnext_tiny,ConvNeXt,finetuned,33,85.82570561293788
convnext_tiny,ConvNeXt,finetuned,34,89.7640044589963
convnext_tiny,ConvNeXt,finetuned,35,87.22999105495035
convnext_tiny,ConvNeXt,finetuned,36,87.32566420468642
convnext_tiny,ConvNeXt,finetuned,37,88.56943900467225
convnext_tiny,ConvNeXt,finetuned,38,87.22903881308602
convnext_tiny,ConvNeXt,finetuned,39,87.12177805874796
convnext_tiny,ConvNeXt,finetuned,40,87.31356199665072
convnext_tiny,ConvNeXt,finetuned,41,87.08123180350874
convnext_tiny,ConvNeXt,finetuned,42,85.00248298218224
convnext_tiny,ConvNeXt,finetuned,43,86.93296944975368
convnext_tiny,ConvNeXt,finetuned,44,86.35990037207736
convnext_tiny,ConvNeXt,finetuned,45,88.01338719345024
convnext_tiny,ConvNeXt,finetuned,46,87.64639066121347
convnext_tiny,ConvNeXt,finetuned,47,89.55886179424314
convnext_tiny,ConvNeXt,finetuned,48,85.4094029822434
convnext_tiny,ConvNeXt,finetuned,49,87.69934593922171
convnext_tiny,ConvNeXt,finetuned,50,85.23150201697442
convnext_tiny,ConvNeXt,finetuned,51,85.72643144205952
convnext_tiny,ConvNeXt,finetuned,52,87.99073498461563
convnext_tiny,ConvNeXt,finetuned,53,87.80470941710624
convnext_tiny,ConvNeXt,finetuned,54,88.79601282238947
convnext_tiny,ConvNeXt,finetuned,55,89.3614011616556
convnext_tiny,ConvNeXt,finetuned,56,89.31093160487758
convnext_tiny,ConvNeXt,finetuned,57,87.74343404006906
convnext_tiny,ConvNeXt,finetuned,58,89.31452189848397
convnext_tiny,ConvNeXt,finetuned,59,86.64693352306956
convnext_tiny,ConvNeXt,finetuned,60,85.76356542768686
convnext_tiny,ConvNeXt,finetuned,61,84.30417982798718
convnext_tiny,ConvNeXt,finetuned,62,86.99538233302542
convnext_tiny,ConvNeXt,finetuned,63,88.91870561494359
convnext_tiny,ConvNeXt,finetuned,64,83.73594278521068
convnext_tiny,ConvNeXt,finetuned,65,88.93907746554584
convnext_tiny,ConvNeXt,finetuned,66,84.83257489620284
convnext_tiny,ConvNeXt,finetuned,67,87.78418908095794
convnext_tiny,ConvNeXt,finetuned,68,84.88610015911928
convnext_tiny,ConvNeXt,finetuned,69,86.94315221126686
convnext_tiny,ConvNeXt,finetuned,70,88.79766186706384
convnext_tiny,ConvNeXt,finetuned,71,85.38498507986074
convnext_tiny,ConvNeXt,finetuned,72,84.07051833384335
convnext_tiny,ConvNeXt,finetuned,73,85.71492825999087
convnext_tiny,ConvNeXt,finetuned,74,86.81368303978465
convnext_tiny,ConvNeXt,finetuned,75,88.58338826847925
convnext_tiny,ConvNeXt,finetuned,76,88.19784492285545
convnext_tiny,ConvNeXt,finetuned,77,86.0343513387768
convnext_tiny,ConvNeXt,finetuned,78,89.30694787022544
convnext_tiny,ConvNeXt,finetuned,79,86.49548622214203
convnext_tiny,ConvNeXt,finetuned,80,86.02653252196603
convnext_tiny,ConvNeXt,finetuned,81,86.84113836618737
convnext_tiny,ConvNeXt,finetuned,82,86.9713209968512
convnext_tiny,ConvNeXt,finetuned,83,86.84545591294287
convnext_tiny,ConvNeXt,finetuned,84,85.86293235752315
convnext_tiny,ConvNeXt,finetuned,85,86.78258393900673
convnext_tiny,ConvNeXt,finetuned,86,86.12967589489129
convnext_tiny,ConvNeXt,finetuned,87,83.66374297419053
convnext_tiny,ConvNeXt,finetuned,88,86.42752281561769
convnext_tiny,ConvNeXt,finetuned,89,87.16153544488236
convnext_tiny,ConvNeXt,finetuned,90,84.86183023268828
convnext_tiny,ConvNeXt,finetuned,91,85.98616543258095
convnext_tiny,ConvNeXt,finetuned,92,83.44375899174807
convnext_tiny,ConvNeXt,finetuned,93,88.0901082831626
convnext_tiny,ConvNeXt,finetuned,94,87.11745228537227
convnext_tiny,ConvNeXt,finetuned,95,86.50686194300783
convnext_tiny,ConvNeXt,finetuned,96,87.89217488145455
convnext_tiny,ConvNeXt,finetuned,97,86.28334595980674
convnext_tiny,ConvNeXt,finetuned,98,86.58825306512283
convnext_tiny,ConvNeXt,finetuned,99,87.22108586089061
convnext_tiny,ConvNeXt,finetuned,100,86.11331417015975
convnext_small,ConvNeXt,frozen,1,67.78238538628376
convnext_small,ConvNeXt,frozen,2,66.08281035013766
convnext_small,ConvNeXt,frozen,3,68.16526482941595
convnext_small,ConvNeXt,frozen,4,69.91852735456155
convnext_small,ConvNeXt,frozen,5,70.85171426134114
convnext_small,ConvNeXt,frozen,6,70.44962412205095
convnext_small,ConvNeXt,frozen,7,73.39397593386502
convnext_small,ConvNeXt,frozen,8,67.89527788925636
convnext_small,ConvNeXt,frozen,9,70.07651119747824
convnext_small,ConvNeXt,frozen,10,66.79995193427393
convnext_small,ConvNeXt,frozen,11,70.71429543389112
convnext_small,ConvNeXt,frozen,12,69.47561001419801
convnext_small,ConvNeXt,frozen,13,70.65421113969819
convnext_small,ConvNeXt,frozen,14,69.21899893930964
convnext_small,ConvNeXt,frozen,15,70.67042120877404
convnext_small,ConvNeXt,frozen,16,69.1815631332009
convnext_small,ConvNeXt,frozen,17,69.51711874045859
convnext_small,ConvNeXt,frozen,18,67.57118313635785
convnext_small,ConvNeXt,frozen,19,71.50536890684485
convnext_small,ConvNeXt,frozen,20,67.2675410051054
convnext_small,ConvNeXt,frozen,21,71.51249500029675
convnext_small,ConvNeXt,frozen,22,69.67926816752058
convnext_small,ConvNeXt,frozen,23,70.05980965631746
convnext_small,ConvNeXt,frozen,24,65.81792555240861
convnext_small,ConvNeXt,frozen,25,70.80045798019144
convnext_small,ConvNeXt,frozen,26,68.32445732858557
convnext_small,ConvNeXt,frozen,27,66.70035017698305
convnext_small,ConvNeXt,frozen,28,69.38218713374599
convnext_small,ConvNeXt,frozen,29,71.7366107645189
convnext_small,ConvNeXt,frozen,30,68.1986636134691
convnext_small,ConvNeXt,frozen,31,67.78618952839926
convnext_small,ConvNeXt,frozen,32,70.15116607828836
convnext_small,ConvNeXt,frozen,33,70.2494810520657
convnext_small,ConvNeXt,frozen,34,70.68280657385067
convnext_small,ConvNeXt,frozen,35,73.29280731179367
convnext_small,ConvNeXt,frozen,36,66.43321222597636
convnext_small,ConvNeXt,frozen,37,68.58355103999921
convnext_small,ConvNeXt,frozen,38,68.78457719396263
convnext_small,ConvNeXt,frozen,39,67.90765587957043
convnext_small,ConvNeXt,frozen,40,65.89070428289875
convnext_small,ConvNeXt,frozen,41,71.50522024519262
convnext_small,ConvNeXt,frozen,42,69.38434049232573
convnext_small,ConvNeXt,frozen,43,71.02874342251887
convnext_small,ConvNeXt,frozen,44,66.63807081047968
convnext_small,ConvNeXt,frozen,45,73.10515678480978
convnext_small,ConvNeXt,frozen,46,68.390742314567
convnext_small,ConvNeXt,frozen,47,66.82451209293721
convnext_small,ConvNeXt,frozen,48,70.42665376986564
convnext_small,ConvNeXt,frozen,49,65.89045514451513
convnext_small,ConvNeXt,frozen,50,70.23693202779928
convnext_small,ConvNeXt,frozen,51,68.37524573784451
convnext_small,ConvNeXt,frozen,52,71.47149147402081
convnext_small,ConvNeXt,frozen,53,69.75034761891665
convnext_small,ConvNeXt,frozen,54,71.14521671541152
convnext_small,ConvNeXt,frozen,55,71.79171195992822
convnext_small,ConvNeXt,frozen,56,71.4196945037078
convnext_small,ConvNeXt,frozen,57,74.09723649412562
convnext_small,ConvNeXt,frozen,58,71.21760953693295
convnext_small,ConvNeXt,frozen,59,69.88923577490198
convnext_small,ConvNeXt,frozen,60,67.59141912565761
convnext_small,ConvNeXt,frozen,61,68.58892639672804
convnext_small,ConvNeXt,frozen,62,66.82143684234303
convnext_small,ConvNeXt,frozen,63,66.79426183199088
convnext_small,ConvNeXt,frozen,64,69.48256799423875
convnext_small,ConvNeXt,frozen,65,68.87372940352464
convnext_small,ConvNeXt,frozen,66,67.16948467585917
convnext_small,ConvNeXt,frozen,67,68.08160965334353
convnext_small,ConvNeXt,frozen,68,68.48400113574749
convnext_small,ConvNeXt,frozen,69,66.41489965748998
convnext_small,ConvNeXt,frozen,70,67.50909958340007
convnext_small,ConvNeXt,frozen,71,67.37128327433757
convnext_small,ConvNeXt,frozen,72,68.15547749936059
convnext_small,ConvNeXt,frozen,73,66.46682418185
convnext_small,ConvNeXt,frozen,74,69.18425098971723
convnext_small,ConvNeXt,frozen,75,71.80095463648321
convnext_small,ConvNeXt,frozen,76,70.74788631258798
convnext_small,ConvNeXt,frozen,77,69.0305041866373
convnext_small,ConvNeXt,frozen,78,69.37292531023576
convnext_small,ConvNeXt,frozen,79,71.15673996957041
convnext_small,ConvNeXt,frozen,80,69.49177386152283
convnext_small,ConvNeXt,frozen,81,68.23504199104156
convnext_small,ConvNeXt,frozen,82,69.6179470168845
convnext_small,ConvNeXt,frozen,83,67.1809219192222
convnext_small,ConvNeXt,frozen,84,66.83003448361853
convnext_small,ConvNeXt,frozen,85,68.29256298243756
convnext_small,ConvNeXt,frozen,86,68.8794002551328
convnext_small,ConvNeXt,frozen,87,67.67711202417587
convnext_small,ConvNeXt,frozen,88,70.51144370913852
convnext_small,ConvNeXt,frozen,89,68.53054915157928
convnext_small,ConvNeXt,frozen,90,70.09203826631132
convnext_small,ConvNeXt,frozen,91,69.46633070413854
convnext_small,ConvNeXt,frozen,92,68.80513624033568
convnext_small,ConvNeXt,frozen,93,70.56578035479838
convnext_small,ConvNeXt,frozen,94,68.19744093617219
convnext_small,ConvNeXt,frozen,95,69.18954000089416
convnext_small,ConvNeXt,frozen,96,68.65769291664638
convnext_small,ConvNeXt,frozen,97,69.83554775113387
convnext_small,ConvNeXt,frozen,98,69.52925473060732
convnext_small,ConvNeXt,frozen,99,68.52190561009284
convnext_small,ConvNeXt,frozen,100,68.14894379031269
convnext_small,ConvNeXt,finetuned,1,86.26486606241414
convnext_small,ConvNeXt,finetuned,2,86.53996488562065
convnext_small,ConvNeXt,finetuned,3,85.97698626077357
convnext_small,ConvNeXt,finetuned,4,85.93650289401623
convnext_small,ConvNeXt,finetuned,5,85.86768876948413
convnext_small,ConvNeXt,finetuned,6,86.72502902308648
convnext_small,ConvNeXt,finetuned,7,86.77087284533228
convnext_small,ConvNeXt,finetuned,8,84.78460289621282
convnext_small,ConvNeXt,finetuned,9,88.26626382324416
convnext_small,ConvNeXt,finetuned,10,85.0215992444079
convnext_small,ConvNeXt,finetuned,11,84.83387899042063
convnext_small,ConvNeXt,finetuned,12,85.62427343777674
convnext_small,ConvNeXt,finetuned,13,86.5518197166441
convnext_small,ConvNeXt,finetuned,14,84.8741547361834
convnext_small,ConvNeXt,finetuned,15,85.13943065590259
convnext_small,ConvNeXt,finetuned,16,85.94939648189477
convnext_small,ConvNeXt,finetuned,17,85.68094629748927
convnext_small,ConvNeXt,finetuned,18,87.05722427033531
convnext_small,ConvNeXt,finetuned,19,88.75986588750101
convnext_small,ConvNeXt,finetuned,20,86.54136291245925
convnext_small,ConvNeXt,finetuned,21,86.55543493698433
convnext_small,ConvNeXt,finetuned,22,83.98556678232836
convnext_small,ConvNeXt,finetuned,23,87.03878292839761
convnext_small,ConvNeXt,finetuned,24,84.80038012797482
convnext_small,ConvNeXt,finetuned,25,86.39703967616784
convnext_small,ConvNeXt,finetuned,26,83.89152732432613
convnext_small,ConvNeXt,finetuned,27,85.01109988681837
convnext_small,ConvNeXt,finetuned,28,85.91712245077434
convnext_small,ConvNeXt,finetuned,29,86.37101056426057
convnext_small,ConvNeXt,finetuned,30,87.48584703698275
convnext_small,ConvNeXt,finetuned,31,85.1224582985253
convnext_small,ConvNeXt,finetuned,32,85.33435767941931
convnext_small,ConvNeXt,finetuned,33,85.76162620730706
convnext_small,ConvNeXt,finetuned,34,86.40662509955321
convnext_small,ConvNeXt,finetuned,35,87.8841889605955
convnext_small,ConvNeXt,finetuned,36,86.91064240297392
convnext_small,ConvNeXt,finetuned,37,86.92098505573085
convnext_small,ConvNeXt,finetuned,38,86.12647633895905
convnext_small,ConvNeXt,finetuned,39,86.60879040110777
convnext_small,ConvNeXt,finetuned,40,85.50343679463744
convnext_small,ConvNeXt,finetuned,41,85.34299395099845
convnext_small,ConvNeXt,finetuned,42,85.19376121281842
convnext_small,ConvNeXt,finetuned,43,85.21375222210679
convnext_small,ConvNeXt,finetuned,44,86.73192049200024
convnext_small,ConvNeXt,finetuned,45,88.57351885169038
convnext_small,ConvNeXt,finetuned,46,84.78083676330883
convnext_small,ConvNeXt,finetuned,47,89.36674038541737
convnext_small,ConvNeXt,finetuned,48,87.57831239420643
convnext_small,ConvNeXt,finetuned,49,86.63214616708264
convnext_small,ConvNeXt,finetuned,50,84.41505553173629
convnext_small,ConvNeXt,finetuned,51,83.68833788374681
convnext_small,ConvNeXt,finetuned,52,85.68471444549985
convnext_small,ConvNeXt,finetuned,53,87.18124270476811
convnext_small,ConvNeXt,finetuned,54,89.97892323467495
convnext_small,ConvNeXt,finetuned,55,88.56622429861163
convnext_small,ConvNeXt,finetuned,56,88.76085425116939
convnext_small,ConvNeXt,finetuned,57,88.58285615834323
convnext_small,ConvNeXt,finetuned,58,87.22981088448022
convnext_small,ConvNeXt,finetuned,59,86.6078095570707
convnext_small,ConvNeXt,finetuned,60,86.17009316016096
convnext_small,ConvNeXt,finetuned,61,85.94667059683395
convnext_small,ConvNeXt,finetuned,62,85.7609439077258
convnext_small,ConvNeXt,finetuned,63,88.80650329460116
convnext_small,ConvNeXt,finetuned,64,84.30333439242442
convnext_small,ConvNeXt,finetuned,65,86.70256293060996
convnext_small,ConvNeXt,finetuned,66,84.02351047841073
convnext_small,ConvNeXt,finetuned,67,85.54884153075719
convnext_small,ConvNeXt,finetuned,68,84.96411960777456
convnext_small,ConvNeXt,finetuned,69,85.9502835711314
convnext_small,ConvNeXt,finetuned,70,85.27519861486006
convnext_small,ConvNeXt,finetuned,71,85.00254909752141
convnext_small,ConvNeXt,finetuned,72,85.57560490840615
convnext_small,ConvNeXt,finetuned,73,84.12132859143891
convnext_small,ConvNeXt,finetuned,74,85.35671516271506
convnext_small,ConvNeXt,finetuned,75,87.95025570471364
convnext_small,ConvNeXt,finetuned,76,88.15520995869292
convnext_small,ConvNeXt,finetuned,77,86.21612850841458
convnext_small,ConvNeXt,finetuned,78,89.44880948202648
convnext_small,ConvNeXt,finetuned,79,85.29855373429295
convnext_small,ConvNeXt,finetuned,80,87.64250409783271
convnext_small,ConvNeXt,finetuned,81,84.96334169795779
convnext_small,ConvNeXt,finetuned,82,86.79083600358341
convnext_small,ConvNeXt,finetuned,83,85.46938188376652
convnext_small,ConvNeXt,finetuned,84,85.75613511943392
convnext_small,ConvNeXt,finetuned,85,85.4984427672979
convnext_small,ConvNeXt,finetuned,86,88.40154837033825
convnext_small,ConvNeXt,finetuned,87,83.77374666155035
convnext_small,ConvNeXt,finetuned,88,85.90039601771669
convnext_small,ConvNeXt,finetuned,89,86.66484042810076
convnext_small,ConvNeXt,finetuned,90,86.03344086249392
convnext_small,ConvNeXt,finetuned,91,84.76687906456772
convnext_small,ConvNeXt,finetuned,92,85.53433387259275
