model,single_lr_mean,single_lr_margin,discriminative_lr_seed42_mean,discriminative_lr_seed42_margin,discriminative_lr_seed123_mean,discriminative_lr_seed123_margin,discriminative_lr_seed7_mean,discriminative_lr_seed7_margin,seed_mean,seed_spread,all_seeds_exceed_single_lr_ci
dinov2_vits14,73.27,0.31,82.67,0.3,84.36,0.29,83.91,0.28,83.65,1.69,True
dinov2_vitg14,76.46,0.36,85.55,0.32,84.84,0.3,85.54,0.27,85.31,0.72,True
