model,family,iteration,macro_f1,macro_precision,macro_recall
convnext_tiny,ConvNeXt,1,87.37755452516656,88.02989159850783,87.30210954600228
convnext_tiny,ConvNeXt,2,85.9133572389242,87.15056398641441,86.35449054698383
convnext_tiny,ConvNeXt,3,86.81521628684648,87.87528967196486,86.77653906524168
convnext_tiny,ConvNeXt,4,87.39069124526324,88.15944940410314,87.63269379876888
convnext_tiny,ConvNeXt,5,85.86157247355173,86.01929503245294,87.13967473127522
convnext_tiny,ConvNeXt,6,85.7667093778522,86.29313302721566,86.04646563035983
convnext_tiny,ConvNeXt,7,86.9015681429984,87.13542396416942,87.83835598831327
convnext_tiny,ConvNeXt,8,85.00161937595514,86.54114259306746,84.9577683058402
convnext_tiny,ConvNeXt,9,86.3515490948579,87.0445297911719,86.65732402063145
convnext_tiny,ConvNeXt,10,87.21503831760467,87.63966633752331,87.50902187804866
convnext_tiny,ConvNeXt,11,86.36824353616086,86.80345562182869,87.32309175239344
convnext_tiny,ConvNeXt,12,87.0012750421282,87.30561957224361,87.42813621744165
convnext_tiny,ConvNeXt,13,86.96001623802442,87.43167602502639,87.42739989863483
convnext_tiny,ConvNeXt,14,88.23012088850815,88.70887904590286,88.47886606124739
convnext_tiny,ConvNeXt,15,86.68718867092583,87.40693746718023,87.14244218845018
convnext_tiny,ConvNeXt,16,87.16779975475282,87.33605882091985,88.07591830559696
convnext_tiny,ConvNeXt,17,86.30984292807334,86.51285691768933,86.934187430553
convnext_tiny,ConvNeXt,18,86.30174973076426,87.11551541542117,86.6147837154746
convnext_tiny,ConvNeXt,19,88.53494369872254,89.59595192351955,88.62103555948767
convnext_tiny,ConvNeXt,20,86.8471914468815,87.6935597400162,87.24698838560789
convnext_tiny,ConvNeXt,21,86.96539040334545,87.89441184050403,87.41211171545878
convnext_tiny,ConvNeXt,22,85.63212625701948,86.60084226731824,85.59197226060927
convnext_tiny,ConvNeXt,23,87.58221841669213,87.84402890558223,88.07088862618163
convnext_tiny,ConvNeXt,24,87.33466108154694,87.606328376957,87.70012965900702
convnext_tiny,ConvNeXt,25,85.30008432045653,86.02667013741856,85.6649380618023
convnext_tiny,ConvNeXt,26,84.44226438758781,85.27238960318783,85.024366380841
convnext_tiny,ConvNeXt,27,86.5835368707865,87.12046097663276,87.27651315247225
