model,variant,iteration,macro_f1
dino_vits8,frozen,95,76.95656180358378
dino_vits8,frozen,96,80.26410193212975
dino_vits8,frozen,97,79.8988476226852
dino_vits8,frozen,98,80.19685658239695
dino_vits8,frozen,99,76.42630248237883
dino_vits8,frozen,100,79.02190049849374
dino_vits8,single_lr,1,82.01685500987199
dino_vits8,single_lr,2,80.08885777334196
dino_vits8,single_lr,3,82.69006980449505
dino_vits8,single_lr,4,81.3544075052006
dino_vits8,single_lr,5,80.33452647516795
dino_vits8,single_lr,6,82.04251593931957
dino_vits8,single_lr,7,83.33352445256502
dino_vits8,single_lr,8,81.40495396277669
dino_vits8,single_lr,9,82.74415093963331
dino_vits8,single_lr,10,83.16370296465564
dino_vits8,single_lr,11,83.56514466018645
dino_vits8,single_lr,12,82.0857687751444
dino_vits8,single_lr,13,80.11155597497479
dino_vits8,single_lr,14,79.42123135224337
dino_vits8,single_lr,15,84.82763668943744
dino_vits8,single_lr,16,84.478505005743
dino_vits8,single_lr,17,80.34543743623705
dino_vits8,single_lr,18,83.56441608406367
dino_vits8,single_lr,19,84.68971087925922
dino_vits8,single_lr,20,81.36430596316397
dino_vits8,single_lr,21,83.16331787105902
dino_vits8,single_lr,22,81.45784129251831
dino_vits8,single_lr,23,81.34782491558192
dino_vits8,single_lr,24,82.12952958269209
dino_vits8,single_lr,25,80.9955894008365
dino_vits8,single_lr,26,80.81531757388932
dino_vits8,single_lr,27,81.62582854088477
dino_vits8,single_lr,28,82.9841759511265
dino_vits8,single_lr,29,84.09384518824868
dino_vits8,single_lr,30,84.10157778733529
dino_vits8,single_lr,31,81.42138744170404
dino_vits8,single_lr,32,81.1845664252199
dino_vits8,single_lr,33,83.17112606230431
dino_vits8,single_lr,34,84.00223790027741
dino_vits8,single_lr,35,83.92469869069416
dino_vits8,single_lr,36,82.08581139849329
dino_vits8,single_lr,37,83.114305137698
dino_vits8,single_lr,38,81.95456628935275
dino_vits8,single_lr,39,82.33877458212645
dino_vits8,single_lr,40,82.6703181661525
dino_vits8,single_lr,41,82.47163763435131
dino_vits8,single_lr,42,82.53069602269683
dino_vits8,single_lr,43,81.601090503218
dino_vits8,single_lr,44,79.85684241244513
dino_vits8,single_lr,45,82.40559655471564
dino_vits8,single_lr,46,85.18272026422599
dino_vits8,single_lr,47,84.68239407622646
dino_vits8,single_lr,48,83.7455231558554
dino_vits8,single_lr,49,83.56456515930674
dino_vits8,single_lr,50,81.97876867073461
dino_vits8,single_lr,51,80.93020816057934
dino_vits8,single_lr,52,83.89739469858579
dino_vits8,single_lr,53,81.57254159757781
dino_vits8,single_lr,54,86.13542248504532
dino_vits8,single_lr,55,87.209925184945
