model,variant,iteration,macro_f1
dino_vits16,mid_lr,30,86.30523660973408
dino_vits16,mid_lr,31,85.59208001800971
dino_vits16,mid_lr,32,85.97868232786452
dino_vits16,mid_lr,33,86.20587217002256
dino_vits16,mid_lr,34,88.54494395833305
dino_vits16,mid_lr,35,88.07919458668646
dino_vits16,mid_lr,36,86.97999483503341
dino_vits16,mid_lr,37,87.71325510879767
dino_vits16,mid_lr,38,87.09461145369154
dino_vits16,mid_lr,39,84.59450444096439
dino_vits16,mid_lr,40,86.99674960637311
dino_vits16,mid_lr,41,86.21191174976225
dino_vits16,mid_lr,42,84.69697177658435
dino_vits16,mid_lr,43,85.28683153837947
dino_vits16,mid_lr,44,86.16529701280858
dino_vits16,mid_lr,45,88.1858040526486
dino_vits16,mid_lr,46,85.9716981021573
dino_vits16,mid_lr,47,88.59062803678997
dino_vits16,mid_lr,48,88.40641514010038
dino_vits16,mid_lr,49,87.21854335693614
dino_vits16,mid_lr,50,86.22951544896773
dino_vits16,mid_lr,51,85.61002620378272
dino_vits16,mid_lr,52,87.3288213874055
dino_vits16,mid_lr,53,87.22635159527083
dino_vits16,mid_lr,54,88.10938875432876
dino_vits16,mid_lr,55,90.53031483728022
dino_vits16,mid_lr,56,89.42775314715759
dino_vits16,mid_lr,57,87.60897629850903
dino_vits16,mid_lr,58,87.70606875020111
dino_vits16,mid_lr,59,84.01010284807981
dino_vits16,mid_lr,60,85.35410181334076
dino_vits16,mid_lr,61,85.50301813049728
dino_vits16,mid_lr,62,85.92807866332355
dino_vits16,mid_lr,63,89.5934233287987
dino_vits16,mid_lr,64,85.92037543818768
dino_vits16,mid_lr,65,87.03116557253108
dino_vits16,mid_lr,66,84.62531263993804
dino_vits16,mid_lr,67,88.84013199408133
dino_vits16,mid_lr,68,86.90215685390936
dino_vits16,mid_lr,69,86.12783038312276
dino_vits16,mid_lr,70,84.88398621622403
dino_vits16,mid_lr,71,84.17733282353126
dino_vits16,mid_lr,72,85.33640314402804
dino_vits16,mid_lr,73,83.23709484239322
dino_vits16,mid_lr,74,86.7528868004401
dino_vits16,mid_lr,75,87.46808412189047
dino_vits16,mid_lr,76,87.8146805995858
dino_vits16,mid_lr,77,84.96417857659803
dino_vits16,mid_lr,78,88.69547628986582
dino_vits16,mid_lr,79,86.44038540455746
dino_vits16,mid_lr,80,87.88114604503872
dino_vits16,mid_lr,81,85.05562585580097
dino_vits16,mid_lr,82,84.7759215078306
dino_vits16,mid_lr,83,86.25408938012053
dino_vits16,mid_lr,84,84.44514967253383
dino_vits16,mid_lr,85,86.62583297975011
dino_vits16,mid_lr,86,84.91244559190076
dino_vits16,mid_lr,87,86.01635920075984
dino_vits16,mid_lr,88,83.66309261713727
dino_vits16,mid_lr,89,85.4047662464076
dino_vits16,mid_lr,90,85.20571865643947
dino_vits16,mid_lr,91,83.91672880836956
dino_vits16,mid_lr,92,83.9689777485386
dino_vits16,mid_lr,93,88.90975409202353
dino_vits16,mid_lr,94,85.68384940471124
dino_vits16,mid_lr,95,85.58170614418948
dino_vits16,mid_lr,96,88.23669885938823
dino_vits16,mid_lr,97,85.54055144733806
dino_vits16,mid_lr,98,83.50868468021564
dino_vits16,mid_lr,99,87.09026202791927
dino_vits16,mid_lr,100,88.05952204379402
dino_vits16,single_lr,1,76.41676563831103
dino_vits16,single_lr,2,74.14279355124638
dino_vits16,single_lr,3,77.8329649773368
dino_vits16,single_lr,4,75.52021692661619
dino_vits16,single_lr,5,77.10712404658848
dino_vits16,single_lr,6,77.46470665527802
dino_vits16,single_lr,7,77.47012339723173
dino_vits16,single_lr,8,75.69004506720466
dino_vits16,single_lr,9,76.76222152463602
dino_vits16,single_lr,10,76.81887046310504
dino_vits16,single_lr,11,76.08950634779733
dino_vits16,single_lr,12,74.8704537554024
dino_vits16,single_lr,13,77.47781107335442
dino_vits16,single_lr,14,74.66938849221499
dino_vits16,single_lr,15,80.02263607450112
dino_vits16,single_lr,16,79.61890140746213
dino_vits16,single_lr,17,74.00417697137172
dino_vits16,single_lr,18,77.27533515537002
dino_vits16,single_lr,19,79.31097558444176
dino_vits16,single_lr,20,73.19248113304558
dino_vits16,single_lr,21,79.11334058487
dino_vits16,single_lr,22,75.12631837206499
dino_vits16,single_lr,23,75.43981518944204
dino_vits16,single_lr,24,74.43337022812815
dino_vits16,single_lr,25,75.78522074599445
dino_vits16,single_lr,26,76.45255057285574
dino_vits16,single_lr,27,76.01834432551611
dino_vits16,single_lr,28,76.97528862888684
dino_vits16,single_lr,29,74.5891052446028
dino_vits16,single_lr,30,78.37411557635248
dino_vits16,single_lr,31,75.72103717160137
dino_vits16,single_lr,32,77.17115710854789
dino_vits16,single_lr,33,74.98275076046802
dino_vits16,single_lr,34,76.36799118911352
dino_vits16,single_lr,35,78.45744098240684
dino_vits16,single_lr,36,76.62545428468587
dino_vits16,single_lr,37,77.65073809817132
dino_vits16,single_lr,38,76.78617017975526
dino_vits16,single_lr,39,74.40557172833145
dino_vits16,single_lr,40,77.02753058128513
dino_vits16,single_lr,41,75.48883203251846
dino_vits16,single_lr,42,76.69821836136359
dino_vits16,single_lr,43,77.09718950774077
dino_vits16,single_lr,44,75.06533891463903
dino_vits16,single_lr,45,78.04418626568538
dino_vits16,single_lr,46,73.92866404762286
dino_vits16,single_lr,47,74.66160190586704
dino_vits16,single_lr,48,77.40831292764227
dino_vits16,single_lr,49,77.69495537261695
dino_vits16,single_lr,50,76.25409300096109
dino_vits16,single_lr,51,73.1440661048516
dino_vits16,single_lr,52,78.37489765666021
dino_vits16,single_lr,53,75.33672559999275
dino_vits16,single_lr,54,79.89876834145203
dino_vits16,single_lr,55,78.49625739330635
dino_vits16,single_lr,56,79.24708777725643
dino_vits16,single_lr,57,78.24137199473547
dino_vits16,single_lr,58,80.9112996185285
dino_vits16,single_lr,59,77.73577014415201
dino_vits16,single_lr,60,78.52860637426129
dino_vits16,single_lr,61,75.04603842909576
dino_vits16,single_lr,62,75.40289354484615
dino_vits16,single_lr,63,77.31760110588728
dino_vits16,single_lr,64,74.49679134801312
dino_vits16,single_lr,65,75.24220892798061
dino_vits16,single_lr,66,74.73919172117635
dino_vits16,single_lr,67,78.17521003580269
dino_vits16,single_lr,68,75.77307261626147
dino_vits16,single_lr,69,75.58901374229474
dino_vits16,single_lr,70,75.3001788885706
dino_vits16,single_lr,71,75.70149735034465
dino_vits16,single_lr,72,77.31474320426479
dino_vits16,single_lr,73,76.19573732648668
dino_vits16,single_lr,74,76.79131385059712
dino_vits16,single_lr,75,79.67843612715264
dino_vits16,single_lr,76,79.75450974777853
dino_vits16,single_lr,77,77.3183323937927
dino_vits16,single_lr,78,79.06010864865745
dino_vits16,single_lr,79,74.62483984190598
dino_vits16,single_lr,80,79.20647526174598
dino_vits16,single_lr,81,75.40851630111742
dino_vits16,single_lr,82,78.3708070842029
dino_vits16,single_lr,83,77.50475592576794
dino_vits16,single_lr,84,74.6582580563056
dino_vits16,single_lr,85,76.81184616257089
dino_vits16,single_lr,86,76.53257849154502
dino_vits16,single_lr,87,73.78761148480059
dino_vits16,single_lr,88,76.56634567524816
dino_vits16,single_lr,89,77.44131759910387
dino_vits16,single_lr,90,76.19950053935031
dino_vits16,single_lr,91,76.9120650111492
dino_vits16,single_lr,92,75.88592797570199
dino_vits16,single_lr,93,78.28677169932187
dino_vits16,single_lr,94,76.81008600167011
dino_vits16,single_lr,95,77.42233148672064
dino_vits16,single_lr,96,76.49801521299892
dino_vits16,single_lr,97,77.54404432311676
dino_vits16,single_lr,98,76.29328078064043
dino_vits16,single_lr,99,77.3815616933512
dino_vits16,single_lr,100,75.62208637266686
dino_vits16,discriminative_lr,1,76.93418478436797
dino_vits16,discriminative_lr,2,77.32611832291589
