model,frozen_mean,single_lr_mean,discriminative_lr_mean,disclr_vs_singlelr_gain,disclr_vs_singlelr_ci_overlap,disclr_vs_frozen_gain,disclr_vs_frozen_ci_overlap
dinov2_vits14,75.18,73.27,82.67,9.4,False,7.49,False
dinov2_vitg14,74.26,76.46,85.55,9.09,False,11.29,False
dinov2_vitl14,73.25,76.36,85.12,8.76,False,11.87,False
dinov2_vitb14,73.02,75.22,82.33,7.11,False,9.31,False
dino_vits16,78.46,76.66,78.81,2.15,False,0.35,True
dino_vits8,79.43,82.38,77.61,-4.77,False,-1.82,False
dino_vitb16,78.99,83.07,78.07,-5.0,False,-0.92,False
dino_vitb8,79.17,84.34,78.13,-6.22,False,-1.04,False
