model,family,recipe,iteration,macro_f1,macro_precision,macro_recall
convnext_tiny,ConvNeXt,single_lr,1,87.37755452516656,88.02989159850783,87.30210954600228
convnext_tiny,ConvNeXt,single_lr,2,85.9133572389242,87.15056398641441,86.35449054698383
convnext_tiny,ConvNeXt,single_lr,3,86.81521628684648,87.87528967196486,86.77653906524168
convnext_tiny,ConvNeXt,single_lr,4,87.39069124526324,88.15944940410314,87.63269379876888
convnext_tiny,ConvNeXt,single_lr,5,85.86157247355173,86.01929503245294,87.13967473127522
convnext_tiny,ConvNeXt,single_lr,6,85.7667093778522,86.29313302721566,86.04646563035983
convnext_tiny,ConvNeXt,single_lr,7,86.9015681429984,87.13542396416942,87.83835598831327
convnext_tiny,ConvNeXt,single_lr,8,85.00161937595514,86.54114259306746,84.9577683058402
convnext_tiny,ConvNeXt,single_lr,9,86.3515490948579,87.0445297911719,86.65732402063145
convnext_tiny,ConvNeXt,single_lr,10,87.21503831760467,87.63966633752331,87.50902187804866
convnext_tiny,ConvNeXt,single_lr,11,86.36824353616086,86.80345562182869,87.32309175239344
convnext_tiny,ConvNeXt,single_lr,12,87.0012750421282,87.30561957224361,87.42813621744165
convnext_tiny,ConvNeXt,single_lr,13,86.96001623802442,87.43167602502639,87.42739989863483
convnext_tiny,ConvNeXt,single_lr,14,88.23012088850815,88.70887904590286,88.47886606124739
convnext_tiny,ConvNeXt,single_lr,15,86.68718867092583,87.40693746718023,87.14244218845018
convnext_tiny,ConvNeXt,single_lr,16,87.16779975475282,87.33605882091985,88.07591830559696
convnext_tiny,ConvNeXt,single_lr,17,86.30984292807334,86.51285691768933,86.934187430553
convnext_tiny,ConvNeXt,single_lr,18,86.30174973076426,87.11551541542117,86.6147837154746
convnext_tiny,ConvNeXt,single_lr,19,88.53494369872254,89.59595192351955,88.62103555948767
convnext_tiny,ConvNeXt,single_lr,20,86.8471914468815,87.6935597400162,87.24698838560789
convnext_tiny,ConvNeXt,single_lr,21,86.96539040334545,87.89441184050403,87.41211171545878
convnext_tiny,ConvNeXt,single_lr,22,85.63212625701948,86.60084226731824,85.59197226060927
convnext_tiny,ConvNeXt,single_lr,23,87.58221841669213,87.84402890558223,88.07088862618163
convnext_tiny,ConvNeXt,single_lr,24,87.33466108154694,87.606328376957,87.70012965900702
convnext_tiny,ConvNeXt,single_lr,25,85.30008432045653,86.02667013741856,85.6649380618023
convnext_tiny,ConvNeXt,single_lr,26,84.44226438758781,85.27238960318783,85.024366380841
convnext_tiny,ConvNeXt,single_lr,27,86.5835368707865,87.12046097663276,87.27651315247225
convnext_tiny,ConvNeXt,single_lr,28,86.66478057229632,87.31492890531791,86.92995764022751
convnext_tiny,ConvNeXt,single_lr,29,84.85739302828294,85.63098122544211,85.21820080155658
convnext_tiny,ConvNeXt,single_lr,30,87.64242371566633,88.88776736417738,87.81983853729713
convnext_tiny,ConvNeXt,single_lr,31,85.59712398474095,86.33702924074353,86.09366626738472
convnext_tiny,ConvNeXt,single_lr,32,86.25229573062853,86.84781677534082,86.37584092302527
convnext_tiny,ConvNeXt,single_lr,33,85.82570561293788,86.4632629719498,86.02835484313475
convnext_tiny,ConvNeXt,single_lr,34,89.7640044589963,90.59375645517792,90.24077371903459
convnext_tiny,ConvNeXt,single_lr,35,87.22999105495035,87.5547665642564,87.486503528842
convnext_tiny,ConvNeXt,single_lr,36,87.32566420468642,87.734772376397,87.71953602775382
convnext_tiny,ConvNeXt,single_lr,37,88.56943900467225,89.21041805922299,88.63538972110258
convnext_tiny,ConvNeXt,single_lr,38,87.22903881308602,88.09752766863414,87.1756641565162
convnext_tiny,ConvNeXt,single_lr,39,87.12177805874796,87.93240766352895,87.49008677114084
convnext_tiny,ConvNeXt,single_lr,40,87.31356199665072,87.83160202751992,87.30989918010378
convnext_tiny,ConvNeXt,single_lr,41,87.08123180350874,87.5136670358274,87.96730771932684
convnext_tiny,ConvNeXt,single_lr,42,85.00248298218224,85.44769172020924,85.92216987734847
convnext_tiny,ConvNeXt,single_lr,43,86.93296944975368,87.81106289950012,87.196661915332
convnext_tiny,ConvNeXt,single_lr,44,86.35990037207736,86.76467298109422,86.86854494348772
convnext_tiny,ConvNeXt,single_lr,45,88.01338719345024,88.34150904630937,88.44374082865131
convnext_tiny,ConvNeXt,single_lr,46,87.64639066121347,88.64167024552003,87.72161804428566
convnext_tiny,ConvNeXt,single_lr,47,89.55886179424314,90.19956586897541,89.76485375353043
convnext_tiny,ConvNeXt,single_lr,48,85.4094029822434,86.0632611841447,85.91063170986445
convnext_tiny,ConvNeXt,single_lr,49,87.69934593922171,88.64206268298338,87.85370039967034
convnext_tiny,ConvNeXt,single_lr,50,85.23150201697442,86.15643479438127,85.29494243436227
convnext_tiny,ConvNeXt,single_lr,51,85.72643144205952,85.69118754221054,86.7835988999745
convnext_tiny,ConvNeXt,single_lr,52,87.99073498461563,88.5045522191887,88.11470020765115
