variant,base_model,iteration,macro_f1
published,convnext_small,66,86.21025264948821
published,convnext_small,67,87.24293131469007
published,convnext_small,68,85.76365735130113
published,convnext_small,69,85.66978062656332
published,convnext_small,70,86.08653386419638
published,convnext_small,71,86.10391986162445
published,convnext_small,72,86.02585622535682
published,convnext_small,73,84.91868891058813
published,convnext_small,74,88.20142172919425
published,convnext_small,75,88.67074200042136
published,convnext_small,76,88.82690835373253
published,convnext_small,77,87.77449559215161
published,convnext_small,78,90.02111534363414
published,convnext_small,79,85.15310233235438
published,convnext_small,80,88.14754277915739
published,convnext_small,81,84.70567930408437
published,convnext_small,82,86.765120752757
published,convnext_small,83,87.58918550120185
published,convnext_small,84,85.60272609148983
published,convnext_small,85,86.58796805472304
published,convnext_small,86,86.7468391941742
published,convnext_small,87,83.43293809578397
published,convnext_small,88,87.26134776163356
published,convnext_small,89,86.7844673449694
published,convnext_small,90,86.62324544650804
published,convnext_small,91,87.18259343260397
published,convnext_small,92,84.10766309001139
published,convnext_small,93,86.33207922464932
published,convnext_small,94,85.43036490458249
published,convnext_small,95,86.14234951714933
published,convnext_small,96,89.06110724295516
published,convnext_small,97,87.01106712623927
published,convnext_small,98,86.13212329976004
published,convnext_small,99,85.99942382509592
published,convnext_small,100,87.31541319337765
published,convnext_base,1,85.25133033300611
published,convnext_base,2,84.04787676665583
published,convnext_base,3,86.64663614721783
published,convnext_base,4,87.84537202674743
published,convnext_base,5,87.44444038442472
published,convnext_base,6,86.72310237271736
published,convnext_base,7,86.85403086817335
published,convnext_base,8,84.99541783702077
published,convnext_base,9,87.36564277671441
published,convnext_base,10,87.27664869341743
published,convnext_base,11,87.70752856486276
published,convnext_base,12,86.02855542752525
published,convnext_base,13,85.09802480119369
published,convnext_base,14,85.57223522767052
published,convnext_base,15,89.07929262040803
published,convnext_base,16,86.62716181464015
published,convnext_base,17,87.22097632312786
published,convnext_base,18,86.13071916011172
published,convnext_base,19,89.22875377951634
published,convnext_base,20,87.58846826552906
published,convnext_base,21,86.31018880756321
published,convnext_base,22,85.10625328851127
published,convnext_base,23,86.42414250493844
published,convnext_base,24,86.3828553112366
published,convnext_base,25,86.71182533099
published,convnext_base,26,85.55583431617741
published,convnext_base,27,86.99931724458972
published,convnext_base,28,86.97864582923877
published,convnext_base,29,88.4044737765607
published,convnext_base,30,88.51761458826523
published,convnext_base,31,85.88929723921272
published,convnext_base,32,88.45699369068775
published,convnext_base,33,85.97955538879407
published,convnext_base,34,89.35286621668651
published,convnext_base,35,88.76907946030106
published,convnext_base,36,87.91977822689303
published,convnext_base,37,88.08203469258966
published,convnext_base,38,87.520208981771
published,convnext_base,39,87.27599603935543
published,convnext_base,40,86.56084834453706
published,convnext_base,41,89.19626436915658
published,convnext_base,42,87.26945414146141
published,convnext_base,43,85.24422549078348
published,convnext_base,44,86.78482047332339
published,convnext_base,45,86.51247922508847
published,convnext_base,46,87.36890320469037
published,convnext_base,47,89.95442651056878
published,convnext_base,48,88.76886258207243
published,convnext_base,49,86.33540610649443
published,convnext_base,50,87.43473071464511
published,convnext_base,51,85.52725562246295
published,convnext_base,52,86.84823719936156
published,convnext_base,53,87.78994834346364
published,convnext_base,54,89.33523925446241
published,convnext_base,55,90.1206072183485
published,convnext_base,56,90.7064974561178
published,convnext_base,57,86.86146415427669
published,convnext_base,58,88.52604293861076
published,convnext_base,59,84.81769306326589
published,convnext_base,60,87.57320728020999
published,convnext_base,61,83.94450870121987
published,convnext_base,62,87.51508751150159
published,convnext_base,63,89.3339039262814
published,convnext_base,64,87.5935557017816
published,convnext_base,65,90.32852812839323
published,convnext_base,66,86.98832578620576
published,convnext_base,67,88.14938751718762
published,convnext_base,68,86.8270506792753
published,convnext_base,69,89.15714319646533
published,convnext_base,70,89.15640402658535
published,convnext_base,71,86.56834569434247
published,convnext_base,72,84.3067638936125
published,convnext_base,73,86.66223071855991
published,convnext_base,74,87.34612013769494
published,convnext_base,75,90.36077883834164
published,convnext_base,76,88.31194897041729
published,convnext_base,77,87.54238726498878
published,convnext_base,78,88.23955334397809
published,convnext_base,79,87.45959980253552
published,convnext_base,80,87.7991597978872
published,convnext_base,81,88.02313335509629
published,convnext_base,82,86.3907193429187
published,convnext_base,83,87.13169808905701
published,convnext_base,84,86.49990588254732
published,convnext_base,85,85.15664397131978
published,convnext_base,86,86.11669356865552
published,convnext_base,87,86.58743677392144
published,convnext_base,88,86.03063073711125
published,convnext_base,89,86.59614728009875
published,convnext_base,90,86.16221807907391
published,convnext_base,91,83.72571948211855
published,convnext_base,92,85.73067599215761
published,convnext_base,93,88.91110378857736
published,convnext_base,94,86.37073974406012
published,convnext_base,95,86.46598020398393
published,convnext_base,96,86.86492671976632
published,convnext_base,97,87.99296114751519
published,convnext_base,98,87.43173470723733
published,convnext_base,99,87.37284015429405
published,convnext_base,100,86.27994290202963
published,convnext_large,1,87.42557041992187
published,convnext_large,2,87.79310362819662
published,convnext_large,3,88.17645477600841
published,convnext_large,4,88.99693304734686
published,convnext_large,5,87.00302584215414
published,convnext_large,6,87.80518121440355
published,convnext_large,7,88.3333174253855
published,convnext_large,8,86.18174450518576
published,convnext_large,9,88.75678462651734
published,convnext_large,10,87.91211109125581
published,convnext_large,11,88.85234013509536
published,convnext_large,12,87.58895642668364
published,convnext_large,13,87.27221670561134
published,convnext_large,14,87.90546640195556
published,convnext_large,15,89.42961977631414
published,convnext_large,16,89.73866183233173
published,convnext_large,17,88.24519175732938
published,convnext_large,18,89.49799360670721
published,convnext_large,19,90.07301971840944
published,convnext_large,20,88.64083222594469
published,convnext_large,21,88.73685290138671
published,convnext_large,22,86.53530967723584
published,convnext_large,23,88.81520372536956
published,convnext_large,24,88.85355882162482
published,convnext_large,25,88.57605220808962
published,convnext_large,26,86.48106462256085
published,convnext_large,27,87.41871643610033
published,convnext_large,28,86.85345784880344
published,convnext_large,29,87.19273799497293
published,convnext_large,30,89.51458395695958
published,convnext_large,31,86.846884204076
published,convnext_large,32,87.97630001618249
published,convnext_large,33,87.82385119364619
published,convnext_large,34,90.05977362347296
published,convnext_large,35,90.35839590868054
published,convnext_large,36,88.1211331049955
published,convnext_large,37,85.71718646090436
published,convnext_large,38,88.29213013167647
published,convnext_large,39,88.29062230821492
published,convnext_large,40,87.85733205485042
published,convnext_large,41,89.40172270698102
published,convnext_large,42,87.06259062241367
published,convnext_large,43,87.16589790855502
published,convnext_large,44,88.3996222520495
published,convnext_large,45,88.3444830875268
published,convnext_large,46,87.3642080129872
published,convnext_large,47,89.09638567845283
published,convnext_large,48,89.57368314864287
published,convnext_large,49,88.59029514007443
published,convnext_large,50,88.01062399468232
published,convnext_large,51,85.80183542465727
published,convnext_large,52,89.0422834339934
published,convnext_large,53,89.66814771852147
published,convnext_large,54,89.61771798329433
published,convnext_large,55,89.45329001684273
published,convnext_large,56,90.50036802148516
published,convnext_large,57,89.29622866544953
published,convnext_large,58,90.25346423270678
published,convnext_large,59,87.66199091404062
published,convnext_large,60,88.10958121205701
published,convnext_large,61,86.69431529327905
published,convnext_large,62,87.8124554080398
published,convnext_large,63,88.86352186912305
published,convnext_large,64,86.87603964577518
published,convnext_large,65,88.63253721495941
published,convnext_large,66,88.77268728521624
published,convnext_large,67,88.56473877679439
published,convnext_large,68,88.6536095483665
published,convnext_large,69,90.38494604095348
published,convnext_large,70,87.66596015135482
published,convnext_large,71,86.90253352552183
published,convnext_large,72,87.5051352054493
published,convnext_large,73,87.22886009703076
published,convnext_large,74,88.65877170178587
published,convnext_large,75,90.28021222145014
published,convnext_large,76,88.3257977103068
